ZIP3,GA-303,NY-134,TX-799,UT-841,AZ-852,CA-900,CA-945,CO-802,FL-331,IL-606,MA-021,MI-481,NC-275,NJ-070,TX-750,TX-770,WA-980
57,911,120,1987,1983,2196,2494,2563,1662,1298,751,137,534,617,215,1485,1559,2356
58,993,193,2049,2022,2250,2541,2600,1708,1379,805,169,592,700,295,1554,1634,2372
59,1011,215,2072,2044,2273,2564,2623,1732,1391,829,167,616,715,307,1577,1656,2392
60,818,124,1945,1984,2169,2478,2564,1651,1181,732,124,515,507,96,1426,1485,2390
61,816,159,1960,2010,2188,2500,2590,1675,1162,755,115,539,497,83,1437,1491,2421
62,852,183,1999,2045,2226,2538,2625,1711,1186,792,78,575,529,118,1476,1529,2451
63,859,195,2010,2058,2238,2550,2638,1724,1186,804,73,587,533,125,1486,1538,2464
64,835,190,1990,2043,2219,2533,2623,1707,1164,788,97,572,509,101,1464,1515,2455
65,795,209,1965,2035,2201,2518,2614,1695,1117,777,141,563,465,70,1435,1480,2459
66,794,172,1948,2008,2180,2494,2587,1670,1135,751,136,536,472,60,1422,1473,2426
67,816,159,1960,2010,2188,2500,2590,1675,1162,755,115,539,497,83,1437,1491,2421
68,778,169,1933,1995,2165,2480,2574,1656,1123,738,152,523,458,44,1407,1457,2416
69,776,166,1929,1991,2161,2476,2570,1652,1123,734,154,519,456,42,1403,1454,2412
70,734,180,1895,1968,2131,2448,2547,1627,1084,710,196,497,414,0,1366,1414,2400
71,735,174,1894,1965,2128,2446,2543,1624,1088,706,195,494,417,5,1365,1414,2395
72,729,175,1888,1960,2123,2440,2539,1619,1083,701,201,489,411,8,1359,1408,2392
73,740,178,1900,1971,2135,2452,2550,1630,1089,713,191,500,419,5,1371,1419,2402
74,750,154,1899,1961,2130,2446,2541,1622,1109,704,181,489,436,27,1373,1425,2386
75,743,163,1895,1962,2128,2445,2541,1622,1099,704,188,490,426,17,1369,1419,2389
76,747,167,1902,1969,2135,2451,2548,1629,1100,711,184,497,429,16,1374,1424,2396
77,725,205,1899,1980,2137,2457,2559,1637,1063,722,207,511,399,26,1366,1410,2417
78,708,171,1862,1935,2097,2415,2514,1594,1073,677,223,465,395,33,1334,1384,2370
79,705,218,1884,1972,2124,2445,2550,1627,1043,713,228,505,378,42,1350,1391,2414
